Timestamp,User,SessionTime,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT,ConfigurationFile
2025-11-22 07:39:00,P14,3.048,73,14.0,0.856,134.356,95.917,79.681,10.912,1
2025-11-22 07:40:00,P11,4.023,75,15.2,-0.009,122.131,76.501,78.801,12.706,0
2025-11-22 07:41:00,P12,4.566,115,18.7,-1.197,154.232,88.611,86.155,11.042,-1
2025-11-22 07:42:00,P16,4.563,121,15.5,-0.219,141.048,77.173,80.227,12.764,1
2025-11-22 07:43:00,P17,4.233,65,20.0,1.054,143.322,77.767,72.487,13.683,0
2025-11-22 07:44:00,P17,4.373,73,17.1,1.547,140.62,81.619,80.636,10.803,-1
2025-11-22 07:45:00,P8,3.617,70,15.2,1.636,127.134,74.95,73.984,9.337,0
2025-11-22 07:46:00,P18,6.0,88,18.5,-0.473,134.154,81.359,78.401,11.014,0
2025-11-22 07:47:00,P13,5.955,79,15.9,1.66,137.48,74.661,90.113,12.882,-1
2025-11-22 07:48:00,P2,2.737,130,18.0,0.386,142.716,78.192,73.111,12.791,0
2025-11-22 07:49:00,P13,4.674,75,15.0,2.438,133.063,76.317,86.2,13.921,1
2025-11-22 07:50:00,P19,4.212,52,18.9,0.574,126.304,69.881,80.522,12.93,0
2025-11-22 07:51:00,P15,3.211,49,16.8,-0.269,117.048,72.216,86.207,13.388,0
2025-11-22 07:52:00,P8,3.486,125,16.4,2.483,141.005,72.759,81.513,13.181,0
2025-11-22 07:53:00,P8,5.475,121,17.9,0.265,139.908,87.932,72.507,11.309,0
2025-11-22 07:54:00,P16,5.374,52,15.0,-1.148,111.905,68.536,80.355,10.725,-1
2025-11-22 07:55:00,P16,4.276,66,11.8,0.457,133.217,79.251,68.739,12.184,0
2025-11-22 07:56:00,P1,4.582,119,14.3,0.932,132.103,68.568,93.932,12.419,-1
2025-11-22 07:57:00,P16,4.366,66,17.8,1.387,144.777,77.707,85.811,11.99,0
2025-11-22 07:58:00,P9,4.357,127,19.1,1.044,119.096,81.076,76.479,10.89,0
2025-11-22 07:59:00,P6,2.41,125,13.3,0.116,119.896,70.579,83.748,12.15,-1
2025-11-22 08:00:00,P1,5.281,67,17.0,1.436,104.451,69.842,89.159,12.04,0
2025-11-22 08:01:00,P4,3.32,60,17.2,0.078,134.693,72.207,82.58,10.88,0
2025-11-22 08:02:00,P11,6.595,78,13.3,0.495,143.19,85.645,70.666,12.011,0
2025-11-22 08:03:00,P17,2.997,119,12.5,-0.421,132.587,82.427,84.904,12.023,0
2025-11-22 08:04:00,P1,3.536,116,19.5,-0.33,148.888,69.265,91.717,13.896,0
2025-11-22 08:05:00,P16,4.633,70,16.8,0.38,119.518,77.077,90.855,10.89,0
2025-11-22 08:06:00,P7,5.238,84,15.3,-0.444,127.993,86.648,75.337,11.32,0
2025-11-22 08:07:00,P3,3.396,73,17.0,-0.437,130.652,81.073,80.056,10.021,0
2025-11-22 08:08:00,P4,4.665,71,12.7,1.215,126.998,80.726,80.629,11.067,0
2025-11-22 08:09:00,P15,4.112,117,16.7,-1.153,145.566,72.571,92.033,10.983,0
2025-11-22 08:10:00,P14,6.207,77,15.7,-0.979,121.962,73.883,93.193,11.878,2
